element	element-content-type	element-content	attribute	attribute-content
desc	text	APIS keywords are controlled locally at the institution level. They are not necessarily consistent.		
profileDesc	elements	|langUsage||textClass|		
langUsage	elements	|language||language|	default	false
language	text	English	ident	en
language	text	Greek	ident	grc
textClass	elements	|keywords|	default	false
keywords	elements	|term||term||term||term||term|	scheme	#apis
term	text	Papyri	type	genre_form
term	text	List of provisions	type	genre_form
term	text	Wine	type	genre_form
term	text	Oil	type	genre_form
term	text	Measures	type	genre_form
text	elements	|body|		
body	elements	|div||div|		
div	elements	|ab|	type	translation
div	elements	|ab|	org	uniform
div	elements	|ab|	sample	complete
div	elements	|ab|	part	N
ab	text	FREE TEXT	part	N
div	elements	|listBibl|	type	bibliography
div	elements	|listBibl|	subtype	citations
div	elements	|listBibl|	org	uniform
div	elements	|listBibl|	sample	complete
div	elements	|listBibl|	part	N
listBibl	elements	|bibl|	default	false
bibl	mixed	P. Got. 17 Kruit, N., Worp, K. A., P.Got. 17 re-edited, Eranos 101, 2, 2003, p. 114-119<<note>>	default	false
note	text	FREE TEXT	anchored	true
teiHeader	elements	|encodingDesc||fileDesc||profileDesc|	type	text
fileDesc	elements	|publicationStmt||sourceDesc||titleStmt|		
titleStmt	elements	|title|		
title	text	Liste de provisions d'huile, de vin, etc		
publicationStmt	elements	|authority||idno|		
authority	text	APIS		
idno	text	gothenburg.apis.13	type	apisid
sourceDesc	elements	|msDesc|	default	false
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	P. Got. inv. 1	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	List of provisions of oil, wine and snacks, mentioning different measures and kinds of jars		
msItemStruct	elements	|note||note||note||note||textLang|	defective	false
note	text	Location: Gothenburg University Library	type	general
note	text	Location: Gothenburg University Library	anchored	true
note	text	Source of description: Recto and verso	type	general
note	text	Source of description: Recto and verso	anchored	true
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	type	general
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	anchored	true
note	text	Verso upside down as related to the recto	type	general
note	text	Verso upside down as related to the recto	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	Pap.; 6.5 x 23.8 cm		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace||persName||persName||persName||persName|	instant	false
origDate	text	VI-VII A.D.	notBefore	0500
origDate	text	VI-VII A.D.	notAfter	0699
origDate	text	VI-VII A.D.	instant	false
origPlace	text	Provenance unknown (Province of Egypt)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
provenance	elements	|p|		
p	text	FREE TEXT		
encodingDesc	elements	|classDecl|		
classDecl	elements	|taxonomy|		
taxonomy	elements	|desc|	id	apis
desc	text	APIS keywords are controlled locally at the institution level. They are not necessarily consistent.		
profileDesc	elements	|langUsage||textClass|		
langUsage	elements	|language||language|	default	false
language	text	English	ident	en
language	text	Greek	ident	grc
textClass	elements	|keywords|	default	false
keywords	elements	|term||term||term||term||term|	scheme	#apis
term	text	Papyri	type	genre_form
term	text	List of provisions	type	genre_form
term	text	Wine	type	genre_form
term	text	Oil	type	genre_form
term	text	Measures	type	genre_form
fileDesc	elements	|publicationStmt||sourceDesc||titleStmt|		
titleStmt	elements	|title|		
title	text	Liste de provisions d'huile, de vin, etc		
publicationStmt	elements	|authority||idno|		
authority	text	APIS		
idno	text	gothenburg.apis.13	type	apisid
sourceDesc	elements	|msDesc|	default	false
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	P. Got. inv. 1	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	List of provisions of oil, wine and snacks, mentioning different measures and kinds of jars		
msItemStruct	elements	|note||note||note||note||textLang|	defective	false
note	text	Location: Gothenburg University Library	type	general
note	text	Location: Gothenburg University Library	anchored	true
note	text	Source of description: Recto and verso	type	general
note	text	Source of description: Recto and verso	anchored	true
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	type	general
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	anchored	true
note	text	Verso upside down as related to the recto	type	general
note	text	Verso upside down as related to the recto	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	Pap.; 6.5 x 23.8 cm		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace||persName||persName||persName||persName|	instant	false
origDate	text	VI-VII A.D.	notBefore	0500
origDate	text	VI-VII A.D.	notAfter	0699
origDate	text	VI-VII A.D.	instant	false
origPlace	text	Provenance unknown (Province of Egypt)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
provenance	elements	|p|		
p	text	FREE TEXT		
titleStmt	elements	|title|		
title	text	Liste de provisions d'huile, de vin, etc		
title	text	Liste de provisions d'huile, de vin, etc		
publicationStmt	elements	|authority||idno|		
authority	text	APIS		
idno	text	gothenburg.apis.13	type	apisid
authority	text	APIS		
idno	text	gothenburg.apis.13	type	apisid
sourceDesc	elements	|msDesc|	default	false
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	P. Got. inv. 1	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	List of provisions of oil, wine and snacks, mentioning different measures and kinds of jars		
msItemStruct	elements	|note||note||note||note||textLang|	defective	false
note	text	Location: Gothenburg University Library	type	general
note	text	Location: Gothenburg University Library	anchored	true
note	text	Source of description: Recto and verso	type	general
note	text	Source of description: Recto and verso	anchored	true
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	type	general
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	anchored	true
note	text	Verso upside down as related to the recto	type	general
note	text	Verso upside down as related to the recto	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	Pap.; 6.5 x 23.8 cm		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace||persName||persName||persName||persName|	instant	false
origDate	text	VI-VII A.D.	notBefore	0500
origDate	text	VI-VII A.D.	notAfter	0699
origDate	text	VI-VII A.D.	instant	false
origPlace	text	Provenance unknown (Province of Egypt)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
provenance	elements	|p|		
p	text	FREE TEXT		
msDesc	elements	|history||msContents||msIdentifier||physDesc|		
msIdentifier	elements	|idno|		
idno	text	P. Got. inv. 1	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	List of provisions of oil, wine and snacks, mentioning different measures and kinds of jars		
msItemStruct	elements	|note||note||note||note||textLang|	defective	false
note	text	Location: Gothenburg University Library	type	general
note	text	Location: Gothenburg University Library	anchored	true
note	text	Source of description: Recto and verso	type	general
note	text	Source of description: Recto and verso	anchored	true
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	type	general
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	anchored	true
note	text	Verso upside down as related to the recto	type	general
note	text	Verso upside down as related to the recto	anchored	true
textLang	text	Greek	mainLang	grc
physDesc	elements	|objectDesc|		
objectDesc	elements	|supportDesc|		
supportDesc	elements	|support|		
support	text	Pap.; 6.5 x 23.8 cm		
history	elements	|origin||provenance|		
origin	elements	|origDate||origPlace||persName||persName||persName||persName|	instant	false
origDate	text	VI-VII A.D.	notBefore	0500
origDate	text	VI-VII A.D.	notAfter	0699
origDate	text	VI-VII A.D.	instant	false
origPlace	text	Provenance unknown (Province of Egypt)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	type	asn
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	instant	false
persName	text	Epitygchanon Strategius (Frisk: Psyrtyesios?) Abraamios Menas(?)	full	yes
provenance	elements	|p|		
p	text	FREE TEXT		
msIdentifier	elements	|idno|		
idno	text	P. Got. inv. 1	type	invNo
idno	text	P. Got. inv. 1	type	invNo
msContents	elements	|msItemStruct||summary|	defective	false
summary	text	List of provisions of oil, wine and snacks, mentioning different measures and kinds of jars		
msItemStruct	elements	|note||note||note||note||textLang|	defective	false
note	text	Location: Gothenburg University Library	type	general
note	text	Location: Gothenburg University Library	anchored	true
note	text	Source of description: Recto and verso	type	general
note	text	Source of description: Recto and verso	anchored	true
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	type	general
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	anchored	true
note	text	Verso upside down as related to the recto	type	general
note	text	Verso upside down as related to the recto	anchored	true
textLang	text	Greek	mainLang	grc
summary	text	List of provisions of oil, wine and snacks, mentioning different measures and kinds of jars		
msItemStruct	elements	|note||note||note||note||textLang|	defective	false
note	text	Location: Gothenburg University Library	type	general
note	text	Location: Gothenburg University Library	anchored	true
note	text	Source of description: Recto and verso	type	general
note	text	Source of description: Recto and verso	anchored	true
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	type	general
note	text	Recto: 23 lines with the fibres, all lines except the first scored out; Verso: 21 lines against the fibres, lines 1-11 scored out	anchored	true
